topic	label	ogi	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	word11	word12	word13	word14	word15	word16	word17	word18	word19	word20	word21	word22	word23	word24	word25	word26	word27	word28	word29	word30	word31	word32	word33	word34	word35	word36	word37	word38	word39	word40	word41	word42	word43	word44	word45	word46	word47	word48	word49	word50
0	new socialist countryside	economic development plans	 0.030*建设 	 0.026*农村 	 0.015*发展 	 0.013*农民 	 0.012*工作 	 0.011*新 	 0.011*推进 	 0.009*社会 	 0.008*农业 	 0.007*工程 	 0.007*实施 	 0.007*就业 	 0.006*提高 	 0.006*资金 	 0.006*加快 	 0.005*进一步 	 0.005*服务 	 0.005*设施 	 0.005*完善 	 0.005*城乡 	 0.005*培训 	 0.005*加大 	 0.005*保障 	 0.005*经济 	 0.005*落实 	 0.005*基础 	 0.004*产业 	 0.004*群众 	 0.004*重点 	 0.004*抓好 	 0.004*城镇 	 0.004*力度 	 0.004*创业 	 0.004*项目 	 0.004*投入 	 0.004*管理 	 0.004*农 	 0.004*示范 	 0.004*户 	 0.003*改善 	 0.003*体系 	 0.003*全县 	 0.003*制度 	 0.003*政策 	 0.003*目标 	 0.003*财政 	 0.003*解决 	 0.003*改造 	 0.003*建立 	 0.003*机制
1	unable to label	na	 0.082*乌 	 0.073*什 	 0.024*海 	 0.023*湾 	 0.021*勃 	 0.015*信息 	 0.011*评论 	 0.010*投资 	 0.010*结束 	 0.009*新闻 	 0.009*相关 	 0.008*专题 	 0.008*政务 	 0.008*动态 	 0.007*领导 	 0.007*中心 	 0.007*位置 	 0.007*工作 	 0.007*规划 	 0.007*社会 	 0.007*服务 	 0.006*海市 	 0.006*文章 	 0.006*正文 	 0.005*发展 	 0.005*管理 	 0.005*公开 	 0.005*人事 	 0.005*自治区 	 0.004*教育 	 0.004*政 	 0.004*旅游 	 0.004*企业 	 0.004*建 	 0.004*民 	 0.004*区委 	 0.004*字体 	 0.004*互动 	 0.004*办事 	 0.004*视频 	 0.004*投资环境 	 0.003*文化 	 0.003*导航 	 0.003*指南 	 0.003*行政 	 0.003*言 	 0.003*联合 	 0.003*概况 	 0.003*景区 	 0.003*右边
2	health and nutrition	"poverty alleviation, education, health care, social security, employment"	 0.012*粮食 	 0.008*榕 	 0.006*健康 	 0.005*应 	 0.005*预防 	 0.005*疾病 	 0.005*标签 	 0.005*治疗 	 0.005*病 	 0.004*江 	 0.004*接种 	 0.004*头 	 0.004*信息 	 0.004*性 	 0.004*疫苗 	 0.003*儿童 	 0.003*吃 	 0.003*医院 	 0.003*内 	 0.003*患者 	 0.003*高 	 0.003*浏览器 	 0.003*病人 	 0.003*常见 	 0.003*线 	 0.003*发现 	 0.003*方法 	 0.003*艾滋病 	 0.003*免疫 	 0.003*一种 	 0.003*卫生 	 0.003*服务 	 0.003*病毒 	 0.002*水 	 0.002*知识 	 0.002*营养 	 0.002*保健 	 0.002*例 	 0.002*感染 	 0.002*位置 	 0.002*提示 	 0.002*食物 	 0.002*技术 	 0.002*功能 	 0.002*中的 	 0.002*控制 	 0.002*建议 	 0.002*化 	 0.002*血 	 0.002*我要
3	unable to label	na	 0.032*木 	 0.029*信息 	 0.028*吉 	 0.018*公开 	 0.015*评论 	 0.013*办 	 0.013*地区 	 0.012*政务 	 0.011*旅游 	 0.010*勒 	 0.009*请 	 0.008*克 	 0.008*管理 	 0.007*发展 	 0.007*签收 	 0.007*人事 	 0.007*行 	 0.007*委 	 0.007*同志 	 0.007*自治州 	 0.007*泰 	 0.006*发表 	 0.006*领导 	 0.006*新闻 	 0.006*结束 	 0.006*廉政 	 0.006*常用 	 0.006*监督 	 0.005*设置 	 0.005*监 	 0.005*相关 	 0.004*失败 	 0.004*财政 	 0.004*叶 	 0.004*举报 	 0.004*管理局 	 0.004*列表 	 0.004*中央 	 0.004*资 	 0.004*少数民族 	 0.004*建议 	 0.004*显示 	 0.004*统计 	 0.004*免职 	 0.004*推荐 	 0.004*位置 	 0.003*文章 	 0.003*标签 	 0.003*高校 	 0.003*交通
4	business taxation	administrative rules and regulations	 0.060*企业 	 0.034*公司 	 0.011*投资 	 0.011*有限公司 	 0.010*税务 	 0.009*贷款 	 0.009*管理 	 0.008*国家 	 0.008*经营 	 0.008*银行 	 0.006*发票 	 0.006*税 	 0.006*业务 	 0.006*外商 	 0.006*股东 	 0.006*设立 	 0.006*纳税 	 0.006*税收 	 0.005*机构 	 0.005*金融 	 0.005*资产 	 0.005*纳税人 	 0.005*合作 	 0.004*提供 	 0.004*所得税 	 0.004*资金 	 0.004*面议 	 0.004*有限 	 0.004*责任 	 0.004*担保 	 0.004*股份 	 0.004*外汇 	 0.004*服务 	 0.004*技术 	 0.004*资本 	 0.003*产品 	 0.003*出资 	 0.003*登记 	 0.003*奖励 	 0.003*生产 	 0.003*信用 	 0.003*中小企业 	 0.003*年度 	 0.003*国有 	 0.003*批准 	 0.003*销售 	 0.003*机关 	 0.003*外 	 0.003*通知 	 0.003*应
5	economic development	economic development plans	 0.041*发展 	 0.018*经济 	 0.017*产业 	 0.015*企业 	 0.012*建设 	 0.009*科技 	 0.008*加快 	 0.007*创新 	 0.007*社会 	 0.006*技术 	 0.006*工业 	 0.006*规划 	 0.006*推进 	 0.006*资源 	 0.006*旅游 	 0.005*重点 	 0.005*服务 	 0.005*提高 	 0.005*市场 	 0.005*化 	 0.005*环境 	 0.004*服务业 	 0.004*优势 	 0.004*开发 	 0.004*实施 	 0.004*提升 	 0.004*国家 	 0.004*体系 	 0.004*文化 	 0.004*完善 	 0.004*生态 	 0.003*节能 	 0.003*战略 	 0.003*人才 	 0.003*产品 	 0.003*进一步 	 0.003*支持 	 0.003*特色 	 0.003*基地 	 0.003*政策 	 0.003*新 	 0.003*增长 	 0.003*品牌 	 0.003*基础 	 0.003*水平 	 0.003*科学 	 0.003*目标 	 0.003*强 	 0.003*推动 	 0.003*能力
6	public procurement and tenders	procurement standards	 0.033*招标 	 0.031*萧 	 0.027*采购 	 0.023*怀 	 0.021*投标 	 0.020*山 	 0.017*信息 	 0.013*项目 	 0.011*公告 	 0.011*山区 	 0.011*中心 	 0.009*中标 	 0.009*标 	 0.008*文件 	 0.008*单位 	 0.006*沙 	 0.006*服务 	 0.006*公 	 0.005*统计 	 0.005*江 	 0.005*评 	 0.005*示 	 0.005*报名 	 0.005*位置 	 0.005*公开 	 0.005*附件 	 0.005*工程 	 0.004*发布 	 0.004*投标人 	 0.004*余 	 0.004*方式 	 0.004*资格 	 0.004*量 	 0.004*办事 	 0.004*声明 	 0.004*政务 	 0.004*错 	 0.004*价 	 0.004*招 	 0.004*干 	 0.004*供应商 	 0.004*建议 	 0.004*标题 	 0.004*纠 	 0.004*动态 	 0.004*地点 	 0.003*有限公司 	 0.003*联系人 	 0.003*元 	 0.003*相关
7	family planning	other	 0.096*工作 	 0.024*负责 	 0.016*组织 	 0.015*管理 	 0.015*领导 	 0.013*指导 	 0.011*计划生育 	 0.010*宣传 	 0.010*卫生 	 0.010*计生 	 0.009*人口 	 0.009*情况 	 0.009*做好 	 0.009*检查 	 0.008*普查 	 0.008*实施 	 0.008*全区 	 0.008*乡镇 	 0.008*办 	 0.007*协调 	 0.007*服务 	 0.007*单位 	 0.007*全县 	 0.006*落实 	 0.006*查 	 0.005*分管 	 0.005*政策 	 0.005*培训 	 0.005*小组 	 0.005*督 	 0.005*相关 	 0.005*办公室 	 0.005*会议 	 0.005*人员 	 0.004*确保 	 0.004*考核 	 0.004*信息 	 0.004*统计 	 0.004*职责 	 0.004*妇女 	 0.004*调查 	 0.004*组 	 0.004*规划 	 0.004*综合 	 0.003*技术 	 0.003*建设 	 0.003*流动人口 	 0.003*科 	 0.003*街道 	 0.003*方案
8	local government office	other	 0.082*汉 	 0.050*南区 	 0.025*区委 	 0.022*同志 	 0.021*办公室 	 0.020*中共 	 0.019*服务 	 0.016*结束 	 0.015*信息中心 	 0.014*我区 	 0.014*导航 	 0.013*底部 	 0.012*顶部 	 0.012*广告 	 0.012*政协 	 0.012*职务 	 0.011*农 	 0.011*声明 	 0.010*政务 	 0.009*备 	 0.009*承办 	 0.008*技术 	 0.008*位置 	 0.008*简介 	 0.008*公开 	 0.008*鄂 	 0.008*大汉 	 0.007*团 	 0.007*引 	 0.007*资 	 0.007*门户 	 0.006*招商 	 0.006*您的 	 0.006*法律 	 0.006*工作 	 0.006*服务网 	 0.006*任免 	 0.005*青年 	 0.005*全区 	 0.004*副主任 	 0.004*领导 	 0.004*标题 	 0.004*记录 	 0.004*免去 	 0.004*活动 	 0.004*栏 	 0.003*视频 	 0.003*街 	 0.003*委员会 	 0.003*调研
9	unable to label	na	 0.047*　 	 0.044*回复 	 0.039*数 	 0.016*帖子 	 0.013*导航 	 0.013*线 	 0.013*发布 	 0.012*主题 	 0.011*楼 	 0.010*建设 	 0.009*版 	 0.008*信息中心 	 0.008*请 	 0.007*信息 	 0.007*电缆 	 0.007*论坛 	 0.006*主 	 0.006*备 	 0.006*未经 	 0.006*浏览 	 0.006*支持 	 0.006*书面 	 0.006*转载 	 0.006*承办 	 0.006*建立 	 0.006*来自 	 0.006*镜像 	 0.005*短信 	 0.005*政务 	 0.005*链接 	 0.005*字体 	 0.005*中心 	 0.005*经济 	 0.005*忘记 	 0.005*户名 	 0.005*咨询 	 0.005*总 	 0.005*话题 	 0.005*电脑 	 0.004*效能 	 0.004*太 	 0.004*皖 	 0.004*县委 	 0.004*建议 	 0.004*运营 	 0.004*次数 	 0.004*列表 	 0.004*中医院 	 0.004*商 	 0.003*情
10	health and social security	"poverty alleviation, education, health care, social security, employment"	 0.039*医疗 	 0.031*保险 	 0.023*劳动 	 0.016*保障 	 0.015*社会 	 0.015*保 	 0.014*职工 	 0.014*机构 	 0.011*人员 	 0.010*养老 	 0.010*元 	 0.009*参 	 0.008*医院 	 0.008*卫生 	 0.008*基金 	 0.008*标准 	 0.008*费用 	 0.007*居民 	 0.007*救助 	 0.007*用人单位 	 0.007*管理 	 0.007*城镇 	 0.006*工资 	 0.006*合作医疗 	 0.006*农村 	 0.006*补贴 	 0.006*补助 	 0.006*支付 	 0.005*失业 	 0.005*合 	 0.005*医 	 0.005*工伤 	 0.005*待遇 	 0.005*定点 	 0.004*享受 	 0.004*参加 	 0.004*住院 	 0.004*缴费 	 0.004*新型 	 0.004*制度 	 0.004*生活 	 0.004*劳动者 	 0.004*退休 	 0.004*就业 	 0.004*补偿 	 0.004*企业 	 0.004*办法 	 0.004*发放 	 0.004*服务 	 0.004*费
11	unable to label	na	 0.095*威 	 0.060*评论 	 0.018*代码 	 0.018*自治县 	 0.016*结束 	 0.016*发表 	 0.015*旅游 	 0.013*公开 	 0.013*标题 	 0.011*网友 	 0.011*顶部 	 0.009*苗族 	 0.009*彝族 	 0.009*文章 	 0.008*回族 	 0.008*服务 	 0.008*链接 	 0.008*海 	 0.007*管理 	 0.007*最新 	 0.007*相关 	 0.007*国家 	 0.007*代表 	 0.006*观点 	 0.006*报道 	 0.006*草 	 0.006*新闻 	 0.006*友情 	 0.006*政务 	 0.005*考 	 0.005*导航 	 0.005*破坏 	 0.005*预留 	 0.005*中部 	 0.005*聘 	 0.005*申请 	 0.005*社会 	 0.005*游客 	 0.005*提示 	 0.005*新 	 0.005*法律 	 0.005*信息 	 0.005*字 	 0.004*专题 	 0.004*公告 	 0.004*分 	 0.004*互 	 0.004*验证 	 0.004*遵守 	 0.004*户名
12	regional development	economic development plans	 0.048*孟 	 0.015*自治县 	 0.015*经济 	 0.013*发展 	 0.011*回族 	 0.010*项目 	 0.007*工业 	 0.007*精神 	 0.006*刘 	 0.006*极 	 0.006*团结 	 0.006*强 	 0.005*年的 	 0.005*努力 	 0.005*回 	 0.005*倍 	 0.005*全县 	 0.005*新 	 0.005*特色 	 0.005*投资 	 0.004*开放 	 0.004*拳 	 0.004*事业 	 0.004*环境 	 0.004*各项 	 0.004*创造 	 0.004*勤劳 	 0.004*弯头 	 0.004*管件 	 0.004*产业 	 0.004*企业 	 0.003*民族 	 0.003*业 	 0.003*清真 	 0.003*张 	 0.003*辉煌 	 0.003*县委 	 0.003*公司 	 0.003*建设 	 0.003*中心 	 0.003*兴 	 0.003*创业 	 0.003*渤海 	 0.003*财政 	 0.003*文化 	 0.003*城乡 	 0.003*立 	 0.003*土 	 0.003*招商 	 0.003*商贸
13	emergency response	emergency management plans	 0.035*应急 	 0.018*事件 	 0.015*工作 	 0.014*突发 	 0.013*灾害 	 0.012*预 	 0.011*案 	 0.011*信息 	 0.010*组织 	 0.009*地震 	 0.008*防汛 	 0.008*处置 	 0.008*发生 	 0.007*公共 	 0.007*事故 	 0.007*人员 	 0.007*报告 	 0.007*负责 	 0.007*救援 	 0.006*防 	 0.006*监测 	 0.006*卫生 	 0.006*指挥部 	 0.005*地质 	 0.005*做好 	 0.005*现场 	 0.005*措施 	 0.005*疫情 	 0.005*情况 	 0.005*点 	 0.005*错误 	 0.004*保障 	 0.004*指挥 	 0.004*防治 	 0.004*社会 	 0.004*预警 	 0.004*预防 	 0.004*物资 	 0.004*相关 	 0.004*控制 	 0.004*单位 	 0.004*灾区 	 0.004*救灾 	 0.004*有关部门 	 0.004*队伍 	 0.003*紧急 	 0.003*机构 	 0.003*抢险 	 0.003*管理 	 0.003*请
14	information openness	other	 0.039*信息 	 0.037*老 	 0.030*公开 	 0.026*颍 	 0.019*政务 	 0.019*文化 	 0.017*建设 	 0.016*办 	 0.014*劳动 	 0.013*旅游 	 0.012*保障 	 0.011*管理 	 0.011*投资 	 0.011*应急 	 0.010*司法 	 0.010*连线 	 0.010*字体 	 0.010*本文 	 0.009*服务 	 0.009*办事处 	 0.008*办公室 	 0.008*科普 	 0.008*动态 	 0.007*统计 	 0.007*区内 	 0.007*工商 	 0.007*公安 	 0.007*卫生 	 0.007*知识 	 0.007*组织 	 0.007*委员会 	 0.007*工作 	 0.007*综合 	 0.007*资 	 0.006*委 	 0.006*健康 	 0.006*政协 	 0.006*计生 	 0.006*文体 	 0.006*企业 	 0.006*监察局 	 0.006*社会 	 0.006*招商 	 0.006*改造 	 0.006*引 	 0.006*窗 	 0.006*建议 	 0.006*表格 	 0.006*区委 	 0.006*精神文明
15	investment information	other	 0.040*结束 	 0.024*投资 	 0.020*信息 	 0.020*公开 	 0.017*动态 	 0.015*领导 	 0.015*新闻 	 0.014*位置 	 0.013*文章 	 0.012*办事 	 0.011*指南 	 0.011*政务 	 0.011*主 	 0.010*左边 	 0.010*发展 	 0.010*规划 	 0.009*菜单 	 0.009*景区 	 0.009*导航 	 0.009*右边 	 0.008*保障 	 0.008*专题 	 0.008*中心 	 0.008*乡镇 	 0.008*投诉 	 0.008*言 	 0.007*公众 	 0.007*社会 	 0.007*管理 	 0.007*工作 	 0.007*正文 	 0.007*旅游 	 0.006*教育 	 0.006*文件 	 0.006*相关 	 0.006*办公室 	 0.005*留言 	 0.005*开发 	 0.005*举报 	 0.005*政策 	 0.005*走进 	 0.005*交通 	 0.005*审批 	 0.005*购 	 0.005*风景 	 0.005*讲话 	 0.005*名胜 	 0.005*百姓 	 0.005*宾馆 	 0.005*项目
16	workplace safety	other	 0.034*安全生产 	 0.025*工作 	 0.020*消防 	 0.015*单位 	 0.014*事故 	 0.012*查 	 0.012*隐患 	 0.012*管理 	 0.011*检查 	 0.011*企业 	 0.011*落实 	 0.010*责任 	 0.010*专项 	 0.009*治理 	 0.009*生产 	 0.009*排 	 0.009*人员 	 0.009*安 	 0.008*信访 	 0.008*情况 	 0.008*整改 	 0.008*整治 	 0.007*执法 	 0.007*监督 	 0.007*组织 	 0.007*经营 	 0.006*重点 	 0.006*监管 	 0.006*危险 	 0.006*制度 	 0.006*监 	 0.006*煤矿 	 0.006*火灾 	 0.005*非法 	 0.005*化学品 	 0.005*培训 	 0.005*措施 	 0.005*发生 	 0.004*行业 	 0.004*场所 	 0.004*领导 	 0.004*确保 	 0.004*督 	 0.004*负责 	 0.004*联合 	 0.004*相关 	 0.003*劳动 	 0.003*切实 	 0.003*依法 	 0.003*方案
17	regulations and forms	administrative rules and regulations	 0.036*信息 	 0.033*表格 	 0.031*切换 	 0.023*马 	 0.018*公开 	 0.018*动态 	 0.017*工作 	 0.017*法规 	 0.014*益 	 0.014*沾 	 0.014*新闻 	 0.014*法律 	 0.013*县长 	 0.012*政策 	 0.011*公告 	 0.010*项目 	 0.009*山 	 0.009*访问 	 0.009*彝族 	 0.009*信访 	 0.008*指南 	 0.008*投资 	 0.008*机构 	 0.008*自治县 	 0.008*　 	 0.007*乡镇 	 0.006*文章 	 0.006*户名 	 0.006*技术 	 0.006*介绍 	 0.005*文件 	 0.005*乐 	 0.005*培训 	 0.005*政策法规 	 0.005*支持 	 0.005*援助 	 0.005*嘉 	 0.005*综合 	 0.005*计划 	 0.005*调研 	 0.005*门户 	 0.005*荫 	 0.005*公文 	 0.005*量 	 0.005*通 	 0.005*公 	 0.004*图片 	 0.004*示 	 0.004*分辨率 	 0.004*省
18	traffic and transportation	other	 0.046*交通 	 0.038*ž 	 0.027*道路 	 0.025*运输 	 0.023*车辆 	 0.017*公路 	 0.013*车 	 0.013*Ü 	 0.011*机动车 	 0.011*客运 	 0.011*交 	 0.010*ń 	 0.010*驾驶 	 0.009*警 	 0.008*态 	 0.008*街动 	 0.008*路 	 0.007*管理 	 0.007*超 	 0.006*大队 	 0.006*Ś 	 0.005*汽车 	 0.005*证 	 0.005*治 	 0.004*超载 	 0.004*超限 	 0.004*经营 	 0.004*公安 	 0.004*货物 	 0.004*事故 	 0.004*行驶 	 0.004*维修 	 0.004*线 	 0.004*营运 	 0.004*运 	 0.004*旅客 	 0.004*驾驶员 	 0.003*养护 	 0.003*公安机关 	 0.003*点 	 0.003*出行 	 0.003*公交 	 0.003*路段 	 0.003*元 	 0.003*牌 	 0.003*线路 	 0.003*春运 	 0.003*人员 	 0.003*辆 	 0.002*道
19	government approval process	administrative licensing	 0.025*申请 	 0.024*登记 	 0.016*办理 	 0.015*机关 	 0.013*行政 	 0.011*材料 	 0.010*法律 	 0.010*事项 	 0.010*证明 	 0.010*受理 	 0.010*审批 	 0.009*许可 	 0.008*机构 	 0.008*变更 	 0.008*提交 	 0.008*申请人 	 0.007*合同 	 0.007*程序 	 0.006*行政机关 	 0.006*文件 	 0.006*复印件 	 0.006*人的 	 0.006*提供 	 0.006*法人 	 0.006*单位 	 0.006*企业 	 0.005*当事人 	 0.005*管理 	 0.005*日内 	 0.005*名称 	 0.005*法定 	 0.005*审查 	 0.005*表 	 0.005*依法 	 0.005*条件 	 0.005*复议 	 0.005*委托 	 0.005*作出 	 0.004*之日起 	 0.004*备案 	 0.004*依据 	 0.004*法 	 0.004*经营 	 0.004*证 	 0.004*批准 	 0.004*资料 	 0.004*情况 	 0.004*组织 	 0.004*书 	 0.004*设立
20	government committees and leaders	other	 0.028*通知 	 0.024*工作 	 0.019*润 	 0.019*办公室 	 0.017*办 	 0.016*领导 	 0.014*小组 	 0.011*政 	 0.011*旗 	 0.010*印发 	 0.010*整治 	 0.010*局长 	 0.008*发 	 0.008*副局长 	 0.008*成立 	 0.007*管理 	 0.007*成员 	 0.007*保存 	 0.007*路 	 0.007*达 	 0.006*街道 	 0.006*方案 	 0.006*分 	 0.005*森林 	 0.005*环境 	 0.005*拉 	 0.005*垃圾 	 0.005*调整 	 0.005*特 	 0.005*实施 	 0.004*清理 	 0.004*发布 	 0.004*防火 	 0.004*环境卫生 	 0.004*综合 	 0.004*设置 	 0.004*市容 	 0.004*副主任 	 0.004*建 	 0.004*文件 	 0.004*清洁 	 0.004*办事处 	 0.004*分局 	 0.004*委 	 0.004*单位 	 0.004*乱 	 0.004*责任 	 0.004*城乡 	 0.004*环卫 	 0.003*人员
21	controls on food and drug production	"environment, product quality and supervision"	 0.044*食品 	 0.021*药品 	 0.016*质量 	 0.016*监督 	 0.015*监管 	 0.014*工作 	 0.013*市场 	 0.013*经营 	 0.012*生产 	 0.011*检查 	 0.011*产品 	 0.010*企业 	 0.008*销售 	 0.007*工商 	 0.006*农产品 	 0.006*专项 	 0.006*管理 	 0.006*领导 	 0.005*相关 	 0.005*服务 	 0.005*藏族 	 0.005*消费者 	 0.005*风 	 0.005*规范 	 0.005*流通 	 0.005*加工 	 0.004*监 	 0.004*卫生 	 0.004*信息 	 0.004*自治州 	 0.004*商品 	 0.004*工商局 	 0.004*执法 	 0.004*检验 	 0.004*全州 	 0.004*药 	 0.004*屠宰 	 0.004*纠 	 0.003*动物 	 0.003*制度 	 0.003*治理 	 0.003*质 	 0.003*商务 	 0.003*添加剂 	 0.003*价格 	 0.003*检疫 	 0.003*餐饮 	 0.003*查处 	 0.003*活动 	 0.003*州长
22	media	other	 0.029*普 	 0.013*新闻 	 0.009*　 	 0.005*揭 	 0.005*信息 	 0.005*图片 	 0.005*旅游 	 0.005*经济 	 0.005*电视台 	 0.005*线 	 0.004*北京 	 0.004*产业 	 0.004*开发 	 0.004*建设 	 0.004*招商 	 0.004*说 	 0.004*试验区 	 0.004*领导 	 0.004*公告 	 0.004*概况 	 0.004*广播 	 0.003*市民 	 0.003*台湾 	 0.003*群 	 0.003*记者 	 0.003*侨区 	 0.003*介绍 	 0.003*交流 	 0.003*深圳 	 0.003*酒店 	 0.003*媒体 	 0.003*调查 	 0.003*历史 	 0.003*广州 	 0.003*投资 	 0.003*香港 	 0.003*发展 	 0.003*尾 	 0.003*山 	 0.003*报道 	 0.003*澳门 	 0.003*网中 	 0.003*旅行社 	 0.003*关 	 0.003*论坛 	 0.003*日报 	 0.002*建 	 0.002*产品 	 0.002*阳 	 0.002*清
23	fiscal administration	budgets and financial accounts	 0.027*行政 	 0.022*管理 	 0.018*工作 	 0.018*财政 	 0.016*监督 	 0.015*制度 	 0.014*执法 	 0.013*审计 	 0.013*资金 	 0.010*实施 	 0.009*依法 	 0.008*预算 	 0.008*情况 	 0.008*规范 	 0.008*单位 	 0.007*项目 	 0.007*考核 	 0.006*执行 	 0.006*审批 	 0.006*社会 	 0.006*建设 	 0.006*组织 	 0.005*专项 	 0.005*检查 	 0.005*改革 	 0.005*责任 	 0.005*制定 	 0.005*资产 	 0.005*落实 	 0.005*机关 	 0.005*收入 	 0.004*完善 	 0.004*政策 	 0.004*意见 	 0.004*人员 	 0.004*负责 	 0.004*支出 	 0.004*办法 	 0.004*公开 	 0.004*监察 	 0.004*建立 	 0.004*程序 	 0.004*性 	 0.004*办 	 0.004*决策 	 0.004*法制 	 0.004*编制 	 0.004*机构 	 0.004*实行 	 0.004*机制
24	community government organizations	other	 0.078*社区 	 0.048*街道 	 0.032*服务 	 0.018*办事 	 0.012*中心 	 0.011*居民 	 0.010*委员会 	 0.009*我要 	 0.009*街 	 0.008*新闻 	 0.008*残疾人 	 0.007*公共 	 0.007*领导 	 0.007*问答 	 0.006*企业 	 0.006*管理局 	 0.006*园 	 0.006*管理 	 0.006*市民 	 0.005*便民 	 0.005*信息 	 0.005*生活 	 0.005*路 	 0.005*文件 	 0.005*监督 	 0.005*我想 	 0.005*办事处 	 0.005*导航 	 0.004*保障 	 0.004*参与 	 0.004*东路 	 0.004*质量 	 0.004*动态 	 0.004*咨询 	 0.004*居委会 	 0.004*社会 	 0.004*法律 	 0.004*我是 	 0.004*规划 	 0.004*走进 	 0.004*老年 	 0.004*老 	 0.004*公开 	 0.004*卫生 	 0.004*公告 	 0.004*志愿者 	 0.004*大厅 	 0.004*文明 	 0.004*发布 	 0.004*常见
25	government statistics	statistical information	 0.046*增长 	 0.025*元 	 0.020*收入 	 0.014*增加 	 0.011*上年 	 0.010*经济 	 0.010*全年 	 0.010*占 	 0.010*工业 	 0.008*率 	 0.007*人均 	 0.007*达 	 0.007*月 	 0.006*居民 	 0.006*下降 	 0.006*全县 	 0.006*财政 	 0.006*价格 	 0.006*全区 	 0.005*性 	 0.005*增 	 0.005*支出 	 0.005*值 	 0.005*月份 	 0.005*投资 	 0.005*累计 	 0.005*万人 	 0.004*社会 	 0.004*同期 	 0.004*总产值 	 0.004*百分点 	 0.004*规模 	 0.004*发展 	 0.004*面积 	 0.004*消费 	 0.004*产值 	 0.004*共 	 0.004*企业 	 0.003*固定资产 	 0.003*指标 	 0.003*城镇 	 0.003*全市 	 0.003*年末 	 0.003*家 	 0.003*产量 	 0.003*万吨 	 0.003*消费品 	 0.003*新 	 0.003*影响 	 0.003*运行
26	surnames	other	 0.011*张 	 0.010*王 	 0.010*李 	 0.008*刘 	 0.007*陈 	 0.005*华 	 0.005*明 	 0.005*杨 	 0.004*县委 	 0.004*林 	 0.004*文 	 0.004*领导 	 0.004*平 	 0.004*家 	 0.004*常委 	 0.004*主任 	 0.004*副 	 0.004*副书记 	 0.003*新 	 0.003*金 	 0.003*吴 	 0.003*副主任 	 0.003*志 	 0.003*周 	 0.003*副县长 	 0.003*书记 	 0.003*徐 	 0.003*德 	 0.003*生 	 0.003*余 	 0.003*建 	 0.003*长 	 0.003*调研 	 0.003*慰问 	 0.003*赵 	 0.003*红 	 0.003*黄 	 0.003*春 	 0.002*武 	 0.002*参加 	 0.002*海 	 0.002*龙 	 0.002*朱 	 0.002*晓 	 0.002*安 	 0.002*都 	 0.002*陪同 	 0.002*人大 	 0.002*国 	 0.002*一行
